name,latitude,longitude,type,node_id
100th St & 1st Ave,40.7858117,-73.9428526,intersection,1
100th St & 2nd Ave,40.7868424,-73.9452772,intersection,2
100th St & 3rd Ave,40.7877698,-73.9474512,intersection,3
100th St & Lexington Ave,40.7884355,-73.9490578,intersection,4
100th St & Park Ave,40.78906,-73.9505229,intersection,5
100th St & Central Park W,40.7942047,-73.962847,intersection,6
100th St & Manhattan Ave,40.7948073,-73.9643048,intersection,7
100th St & Columbus Ave,40.7954774,-73.965616,intersection,8
100th St & Amsterdam Ave,40.7966173,-73.9684943,intersection,9
100th St & Broadway,40.7971787,-73.9698353,intersection,10
100th St & W End Ave,40.7978231,-73.9713496,intersection,11
100th St & Riverside Dr,40.7985788,-73.9731805,intersection,12
101st St & Riverside Dr,40.7991571,-73.9725437,intersection,13
101st St & W End Ave,40.7984533,-73.9709053,intersection,14
101st St & Broadway,40.7978037,-73.9693734,intersection,15
101st St & Amsterdam Ave,40.79725,-73.968038,intersection,16
101st St & Manhattan Ave,40.795463,-73.963805,intersection,17
101st St & Central Park W,40.7948582,-73.9623756,intersection,18
101st St & 5th Ave,40.7911007,-73.953428,intersection,19
101st St & Madison Ave,40.7904206,-73.951817,intersection,20
101st St & Park Ave,40.7896935,-73.9500702,intersection,21
101st St & Lexington Ave,40.789062,-73.9486058,intersection,22
101st St & 3rd Ave,40.788383,-73.947002,intersection,23
101st St & 2nd Ave,40.7874861,-73.9447971,intersection,24
101st St & 1st Ave,40.7864371,-73.9423906,intersection,25
102nd St & Riverside Dr,40.7997263,-73.9719248,intersection,26
102nd St & W End Ave,40.7990839,-73.97044,intersection,27
102nd St & Broadway,40.7985097,-73.969085,intersection,28
102nd St & Amsterdam Ave,40.79787,-73.967575,intersection,29
102nd St & Manhattan Ave,40.79609,-73.96335,intersection,30
102nd St & Central Park W,40.7954826,-73.9619149,intersection,31
102nd St & 5th Ave,40.7917268,-73.9529824,intersection,32
102nd St & Madison Ave,40.7910489,-73.9513629,intersection,33
102nd St & Park Ave,40.7904253,-73.9498803,intersection,34
102nd St & Lexington Ave,40.7896851,-73.9481469,intersection,35
102nd St & 3rd Ave,40.7890143,-73.9465351,intersection,36
102nd St & 2nd Ave,40.7880822,-73.9443263,intersection,37
102nd St & 1st Ave,40.7870698,-73.9419167,intersection,38
103rd St & Riverside Dr,40.80035,-73.971464,intersection,39
103rd St & W End Ave,40.7997184,-73.9699692,intersection,40
103rd St & Broadway,40.7991492,-73.9686393,intersection,41
103rd St & Amsterdam Ave,40.798503,-73.96712,intersection,42
103rd St & Manhattan Ave,40.7967134,-73.962896,intersection,43
103rd St & Central Park W,40.7961234,-73.9614497,intersection,44
103rd St & 5th Ave,40.7923537,-73.9525276,intersection,45
103rd St & Madison Ave,40.7916796,-73.950913,intersection,46
103rd St & Park Ave,40.7910497,-73.9494321,intersection,47
103rd St & Lexington Ave,40.790325,-73.9476999,intersection,48
103rd St & 3rd Ave,40.7896389,-73.9460753,intersection,49
103rd St & 2nd Ave,40.7887087,-73.943873,intersection,50
103rd St & 1st Ave,40.787697,-73.9414658,intersection,51
104th St & 1st Ave,40.7883313,-73.9410125,intersection,52
104th St & 2nd Ave,40.7893321,-73.943401,intersection,53
104th St & 3rd Ave,40.7902606,-73.9456201,intersection,54
104th St & Lexington Ave,40.7909485,-73.9472379,intersection,55
104th St & Park Ave,40.7915628,-73.9486997,intersection,56
104th St & Madison Ave,40.7923012,-73.9504537,intersection,57
104th St & 5th Ave,40.792984,-73.9520549,intersection,58
104th St & Central Park W,40.7967545,-73.9609914,intersection,59
104th St & Manhattan Ave,40.7973493,-73.9624345,intersection,60
104th St & Columbus Ave,40.797918,-73.9638424,intersection,61
104th St & Amsterdam Ave,40.799139,-73.9666512,intersection,62
104th St & Broadway,40.7998259,-73.9682961,intersection,63
104th St & W End Ave,40.80033,-73.969505,intersection,64
104th St & Riverside Dr,40.8009732,-73.9710197,intersection,65
105th St & Riverside Dr,40.8016022,-73.9705556,intersection,66
105th St & W End Ave,40.800957,-73.969046,intersection,67
105th St & Broadway,40.8005745,-73.9680948,intersection,68
105th St & Amsterdam Ave,40.7997833,-73.9661952,intersection,69
105th St & Columbus Ave,40.798564,-73.963361,intersection,70
105th St & Manhattan Ave,40.797988,-73.961981,intersection,71
105th St & Central Park W,40.7973741,-73.960536,intersection,72
105th St & 5th Ave,40.7936129,-73.9515972,intersection,73
105th St & Madison Ave,40.792932,-73.9500043,intersection,74
105th St & Park Ave,40.7921927,-73.9482575,intersection,75
105th St & Lexington Ave,40.7915761,-73.9467842,intersection,76
105th St & 3rd Ave,40.790896,-73.9451536,intersection,77
105th St & 2nd Ave,40.7899606,-73.9429477,intersection,78
105th St & 1st Ave,40.788955,-73.9405603,intersection,79
106th St & 1st Ave,40.7896311,-73.94006,intersection,80
106th St & 2nd Ave,40.7906348,-73.9424475,intersection,81
106th St & 3rd Ave,40.7915751,-73.9446725,intersection,82
106th St & Lexington Ave,40.7922522,-73.9462817,intersection,83
106th St & Park Ave,40.7929857,-73.9480087,intersection,84
106th St & Madison Ave,40.7936179,-73.9494987,intersection,85
106th St & 5th Ave,40.7942847,-73.951114,intersection,86
106th St & Central Park W,40.7980416,-73.9600487,intersection,87
106th St & Manhattan Ave,40.798654,-73.961478,intersection,88
106th St & Columbus Ave,40.7992792,-73.9628399,intersection,89
106th St & Amsterdam Ave,40.800418,-73.9657329,intersection,90
106th St & Broadway,40.8014215,-73.9680053,intersection,91
106th St & W End Ave,40.8016539,-73.9685727,intersection,92
106th St & Riverside Dr,40.8022762,-73.9700606,intersection,93
107th St & Riverside Dr,40.8029671,-73.9695609,intersection,94
107th St & W End Ave,40.8023473,-73.9681119,intersection,95
107th St & Broadway,40.8022479,-73.9679109,intersection,96
107th St & Amsterdam Ave,40.8011146,-73.9652554,intersection,97
107th St & Columbus Ave,40.799915,-73.962377,intersection,98
107th St & Manhattan Ave,40.799329,-73.960983,intersection,99
107th St & Central Park W,40.7987267,-73.9595458,intersection,100
107th St & 5th Ave,40.7949648,-73.9506188,intersection,101
107th St & Madison Ave,40.7942941,-73.9490104,intersection,102
107th St & Park Ave,40.7935453,-73.9472701,intersection,103
107th St & Lexington Ave,40.7929264,-73.9457949,intersection,104
107th St & 3rd Ave,40.7922478,-73.9441767,intersection,105
107th St & 2nd Ave,40.7912264,-73.9419969,intersection,106
107th St & 1st Ave,40.7902458,-73.9396193,intersection,107
108th St & Riverside Dr,40.8036639,-73.9692865,intersection,108
108th St & Broadway,40.8029062,-73.9675033,intersection,109
108th St & Amsterdam Ave,40.8017602,-73.9647958,intersection,110
108th St & Columbus Ave,40.800543,-73.961917,intersection,111
108th St & Manhattan Ave,40.799958,-73.960527,intersection,112
108th St & Central Park W,40.7993626,-73.9590845,intersection,113
108th St & 5th Ave,40.7955926,-73.9501655,intersection,114
108th St & Madison Ave,40.7949131,-73.9485484,intersection,115
108th St & Park Ave,40.7942885,-73.947083,intersection,116
108th St & Lexington Ave,40.793561,-73.9453308,intersection,117
108th St & 3rd Ave,40.7928802,-73.9437163,intersection,118
108th St & 2nd Ave,40.791908,-73.941503,intersection,119
108th St & 1st Ave,40.7909156,-73.9391332,intersection,120
109th St & 1st Ave,40.7915693,-73.9386598,intersection,121
109th St & 2nd Ave,40.7925611,-73.9410399,intersection,122
109th St & 3rd Ave,40.7935029,-73.9432556,intersection,123
109th St & Lexington Ave,40.7941884,-73.9448749,intersection,124
109th St & Park Ave,40.7948078,-73.9463594,intersection,125
109th St & Madison Ave,40.795543,-73.9480854,intersection,126
109th St & 5th Ave,40.7962261,-73.9497122,intersection,127
109th St & Central Park W,40.7999625,-73.9585771,intersection,128
109th St & Manhattan Ave,40.800586,-73.9600704,intersection,129
109th St & Columbus Ave,40.801172,-73.961458,intersection,130
109th St & Amsterdam Ave,40.8023751,-73.9643089,intersection,131
109th St & Broadway,40.8035387,-73.9670752,intersection,132
109th St & Riverside Dr,40.8042197,-73.9686798,intersection,133
10th Ave & Gansevoort St,40.7393384,-74.0096744,intersection,134
10th Ave & Little W 12th St,40.7407124,-74.0089519,intersection,135
10th Ave & 13th St,40.7414418,-74.0087084,intersection,136
10th Ave & 14th St,40.7423236,-74.008434,intersection,137
10th Ave & 15th St,40.7428202,-74.0077185,intersection,138
10th Ave & 16th St,40.7434745,-74.0072347,intersection,139
10th Ave & 17th St,40.744061,-74.006811,intersection,140
10th Ave & 18th St,40.7446557,-74.0063795,intersection,141
10th Ave & 19th St,40.7452343,-74.0059515,intersection,142
10th Ave & 20th St,40.7458183,-74.0055317,intersection,143
10th Ave & 21st St,40.7464045,-74.0051253,intersection,144
10th Ave & 22nd St,40.7470178,-74.0046633,intersection,145
10th Ave & 23rd St,40.7476959,-74.0041718,intersection,146
10th Ave & 24th St,40.7483593,-74.0036876,intersection,147
10th Ave & 25th St,40.7489821,-74.0032397,intersection,148
10th Ave & 26th St,40.7496009,-74.0027918,intersection,149
10th Ave & 27th St,40.7502166,-74.0023398,intersection,150
10th Ave & 28th St,40.7508373,-74.0018852,intersection,151
10th Ave & 29th St,40.7514581,-74.0014386,intersection,152
10th Ave & 30th St,40.7520595,-74.0010296,intersection,153
10th Ave & 31st St,40.7527126,-74.0005291,intersection,154
10th Ave & 33rd St,40.7539128,-73.999628,intersection,155
10th Ave & 34th St,40.7545893,-73.9991464,intersection,156
10th Ave & 35th St,40.7552526,-73.9986612,intersection,157
10th Ave & 36th St,40.7558708,-73.99821,intersection,158
10th Ave & 37th St,40.7564992,-73.9977536,intersection,159
