27th Street,40.7436274,-73.9404517,residential,42860546,
30th Street,40.7433053,-73.9376534,residential,42860563,
30th Place,40.7431934,-73.9367078,residential,42860570,
31st Place,40.7429830,-73.9348680,residential,42860576,
Van Dam Street,40.7428784,-73.9339420,primary,42860580,
33rd Street,40.7426591,-73.9320825,residential,42860586,
34th Street,40.7425534,-73.9311586,residential,42860591,
35th Street,40.7424477,-73.9302418,residential,42860595,
36th Street,40.7423388,-73.9293061,residential,42860598,
39th Street,40.7420200,-73.9265500,tertiary,42860603,
39th Place,40.7419080,-73.9255880,residential,42860605,
40th Street,40.7418026,-73.9246619,residential,42860609,
41st Street,40.7416978,-73.9237376,residential,42860613,
42nd Street,40.7415908,-73.9228121,residential,42860615,
43rd Street,40.7414780,-73.9218830,residential,42860617,
Greenpoint Avenue,40.7413716,-73.9209487,primary,42860618,
45th Street,40.7412726,-73.9200222,residential,42860622,
47th Avenue,40.7410543,-73.9181651,residential,42860624,
47th Avenue,40.7407290,-73.9153840,residential,42860635,
Broadway,40.8722414,-73.9126036,primary,42427507,
East Houston Street,40.7251537,-73.9952714,primary,42445511,
Throop Avenue,40.7005450,-73.9444030,residential,42467503,
Broadway,40.7014417,-73.9430797,primary,42467507,
1st Avenue,40.8005325,-73.9321018,primary,6336676028,
1st Avenue,40.8010435,-73.9317343,primary,6336676029,
South 4th Street,40.7110439,-73.9605932,residential,42467551,
South 5th Street,40.7105014,-73.9609444,residential,42467554,
North Glen Lane,40.8371500,-73.9712482,residential,103153927,
37th Street,40.7422291,-73.9283627,residential,42860601,
Sara Hill Lane,40.8735994,-73.9593073,residential,3526754648,
47th Street,40.7432249,-73.9177213,residential,2262434175,
Debevoise Street,40.7016370,-73.9422670,residential,42467803,
Cook Street,40.7023460,-73.9423855,residential,42467807,
Varet Street,40.7030530,-73.9424950,residential,42467811,
Moore Street,40.7037640,-73.9426140,residential,42467814,
Graham Avenue,40.7044730,-73.9427340,residential,42467817,
McKibbin Street,40.7051820,-73.9428500,residential,42467820,
Graham Avenue,40.7058880,-73.9429660,residential,42467823,
Graham Avenue,40.7065970,-73.9430860,residential,42467825,
Graham Avenue,40.7073350,-73.9432020,residential,42467828,
Meserole Street,40.7080710,-73.9433220,residential,42467831,
Adams Street,40.7044603,-73.9884247,residential,4633919995,
Graham Avenue,40.7109010,-73.9437880,residential,42467844,
Grand Street,40.7116410,-73.9439110,primary,42467848,
Powers Street,40.7123780,-73.9440320,residential,42467850,
Graham Avenue,40.7130870,-73.9441480,residential,42467858,
Graham Avenue,40.7137960,-73.9442650,residential,42467863,
Graham Avenue,40.7145320,-73.9443880,residential,42467872,
Graham Avenue,40.7152280,-73.9444990,residential,42467880,
Graham Avenue,40.7159390,-73.9446150,residential,42467885,
Graham Avenue,40.7166490,-73.9447340,residential,42467889,
Graham Avenue,40.7173570,-73.9448500,residential,42467892,
Graham Avenue,40.7180660,-73.9449660,residential,42467894,
Graham Avenue,40.7187820,-73.9450840,residential,42467896,
Lemoine Avenue,40.8499889,-73.9704549,primary,103154236,
Gerome Avenue,40.8502800,-73.9720490,residential,103154238,
Graham Avenue,40.7188740,-73.9451080,residential,42467904,
Bayard Street,40.7201590,-73.9460410,residential,42467912,
Graham Avenue,40.7207890,-73.9465030,residential,42467919,
Washington Avenue,40.8227580,-73.9114680,residential,42730064,
Hillside Avenue,40.8524570,-73.9977260,residential,103154263,
Graham Avenue,40.7221440,-73.9472340,residential,42467929,
Elton Avenue,40.8242044,-73.9108470,secondary,42730077,
Driggs Avenue,40.7227270,-73.9474740,residential,42467934,
East 163rd Street,40.8246174,-73.9105976,secondary,42730079,
Queens Plaza South,40.7508947,-73.9414712,tertiary,42861161,
42nd Road,40.7502410,-73.9420720,residential,42861164,
24th Street,40.7482150,-73.9438774,residential,42861168,
Central Road,40.8507039,-73.9658430,secondary,103154290,
Central Road,40.8511796,-73.9659556,secondary,103154291,
Central Avenue,40.8518901,-73.9656693,residential,103154295,
35th Avenue,40.7601811,-73.9329043,tertiary,42861179,
Nassau Avenue,40.7235840,-73.9513564,residential,6039536260,
38th Avenue,40.7562120,-73.9365810,residential,42861190,
24th Street,40.7551600,-73.9375490,residential,42861193,
24th Street,40.7538980,-73.9387100,residential,42861196,
24th Street,40.7526400,-73.9398710,residential,42861200,
Queens Plaza North,40.7513332,-73.9410644,tertiary,42861204,
Merkle Street,40.8551881,-73.9644167,residential,103154325,
Sylvan Street,40.8558002,-73.9640395,residential,103154327,
20th Avenue,40.7828719,-73.9107466,residential,42861213,
21st Avenue,40.7810949,-73.9129106,residential,42861216,
Ditmars Boulevard,40.7792621,-73.9151352,tertiary,42861221,
23rd Avenue,40.7774940,-73.9172945,residential,42861232,
Hoyt Avenue North,40.7739310,-73.9216560,secondary,42861235,
Hoyt Avenue South,40.7735424,-73.9221600,secondary,42861243,
12th Street,40.7751748,-73.9290481,residential,42861252,
26th Avenue,40.7741850,-73.9268620,residential,42861267,
18th Street,40.7740880,-73.9269090,residential,42861322,
26th Avenue,40.7770560,-73.9353990,residential,42861335,
26th Avenue,40.7761520,-73.9326308,residential,42861342,
Frederick Douglass Boulevard,40.8315002,-73.9355028,secondary,5333189421,
Frederick Douglass Boulevard,40.8315482,-73.9356338,secondary,5333189422,
Frederick Douglass Boulevard,40.8312125,-73.9356973,secondary,5333189423,
Frederick Douglass Boulevard,40.8312690,-73.9358211,secondary,5333189424,
Frederick Douglass Boulevard,40.8307352,-73.9360376,secondary,5333189427,
Frederick Douglass Boulevard,40.8305472,-73.9361611,secondary,5333189428,
North Basin Road,40.7485181,-73.9568913,residential,1696727885,
East 66th Street,40.7648966,-73.9612134,secondary,5550244687,
East 66th Street,40.7650445,-73.9615991,secondary,5550244688,
East 66th Street,40.7651455,-73.9615223,secondary,5550244689,
Steinway Street,40.7551516,-73.9221287,tertiary,1927807845,
East 153rd Street,40.8211427,-73.9256579,residential,2408448891,
Grand Concourse,40.8206024,-73.9262241,primary,2408448892,
Grand Concourse,40.8165145,-73.9281415,primary,2408448893,
Grand Concourse,40.8194580,-73.9268030,primary,2408448896,
Walton Avenue,40.8273857,-73.9239800,residential,2408448898,
East 161st Street,40.8264685,-73.9211040,secondary,2408448899,
East 161st Street,40.8267418,-73.9227823,secondary,2408448900,
East 161st Street,40.8271298,-73.9241293,secondary,2408448901,
East 149th Street,40.8185466,-73.9272342,secondary,2408448905,
East 161st Street,40.8267109,-73.9226180,secondary,2408448907,
Grand Concourse,40.8260807,-73.9230026,primary,2408448908,
East 161st Street,40.8276581,-73.9248527,secondary,2408448909,
East 158th Street,40.8253967,-73.9234195,residential,2408448912,
Concourse Village West,40.8263148,-73.9212194,residential,2408448917,
East 161st Street,40.8263320,-73.9208952,secondary,2408448918,
East 156th Street,40.8234586,-73.9244028,residential,2408448920,
Grand Concourse,40.8202676,-73.9264167,primary,2408448923,
Grand Concourse,40.8219255,-73.9250435,primary,2408448924,
West 48th Street,40.7654859,-73.9975850,residential,62915516,
Edwin Avenue,40.8562474,-73.9765575,residential,103285693,
West 50th Street,40.7667381,-73.9966729,secondary,62915521,
West 49th Street,40.7661147,-73.9971270,secondary,62915536,
West 42nd Street,40.7619572,-74.0010621,primary,62915549,
Broadway,40.7145279,-74.0060126,secondary,4207150077,
Broadway,40.7167984,-74.0040877,secondary,4207150078,
Varick Street,40.7185721,-74.0070433,secondary,4207150079,
Varick Street,40.7194943,-74.0068581,secondary,4207150080,
West 130th Street,40.8141870,-73.9508600,residential,42427538,
Wadsworth Avenue,40.8528980,-73.9327250,tertiary,42445680,
Palisade Plaza,40.8423196,-73.9689005,residential,3584033962,
East 59th Street,40.7615550,-73.9665764,secondary,4288677093,
Dyer Avenue,40.7519412,-73.9995560,primary,427841073,
Kent Avenue,40.7119171,-73.9680168,secondary,42468731,
South 6th Street,40.7116490,-73.9672330,residential,42468735,
South 6th Street,40.7113780,-73.9664460,residential,42468738,
Bedford Avenue,40.7104770,-73.9638390,residential,42468744,
Broadway,40.7102155,-73.9631645,secondary,42468747,
West End Avenue,40.7770326,-73.9865196,secondary,3371304332,
West End Avenue,40.7773135,-73.9863123,secondary,3371304342,
Madison Avenue,40.7821571,-73.9578658,secondary,42445733,
West Fordham Road,40.8627007,-73.9090020,primary,42731023,
West Fordham Road,40.8623434,-73.9098159,primary,42731026,
West Fordham Road,40.8617552,-73.9117484,primary,42731033,
West Fordham Road,40.8621943,-73.9135097,primary,42731051,
West Fordham Road,40.8624678,-73.9141793,primary,42731058,
1st Avenue,40.7781772,-73.9484255,primary,42445748,
Palmer Place,40.8546620,-73.9883990,residential,103155260,
Paulin Boulevard,40.8537820,-73.9869230,residential,103155262,
79th Street Transverse Road,40.7809228,-73.9716142,secondary,1946814074,
9th Avenue,40.7612693,-73.9905609,primary,4207957614,
Grand Avenue,40.8593240,-73.9959570,primary,103155360,
Broad Avenue,40.8567130,-73.9915360,secondary,103155362,
10th Avenue,40.7428340,-74.0077050,primary,42445766,
Skillman Avenue,40.7452996,-73.9373174,residential,4636542634,
Skillman Avenue,40.7451552,-73.9378999,residential,4636542638,
Morton Street,40.7061949,-73.9657230,residential,42469117,
Clymer Street,40.7056282,-73.9650865,residential,42469118,
Clay Street,40.7369972,-73.9511041,residential,42469148,
Paidge Avenue,40.7367070,-73.9502050,secondary,42469151,
John Street,40.7044536,-73.9875259,residential,42469180,
Maspeth Avenue,40.7163620,-73.9378790,residential,42489482,
Plymouth Street,40.7037855,-73.9875501,residential,42469184,
Water Street,40.7031346,-73.9875906,residential,42469188,
Front Street,40.7024569,-73.9876310,secondary,42469193,
Pearl Street,40.7015608,-73.9876844,residential,42469205,
Maspeth Avenue,40.7149002,-73.9425124,residential,4660922244,
3rd Street,40.8483720,-73.9940000,residential,103286690,
4th Street,40.8470250,-73.9916870,residential,103286691,
8th Street,40.8453510,-73.9888130,residential,103286692,
Sherwood Avenue,40.8783121,-73.9545299,residential,103286724,
Rock Road,40.8767951,-73.9555270,residential,103286728,
Water Street,40.7033614,-73.9939434,residential,42469325,
Water Street,40.7033107,-73.9925823,residential,42469329,
Washington Street,40.7031971,-73.9895234,residential,42469336,
Adams Street,40.7031724,-73.9887620,residential,42469341,
Jay Street,40.7031063,-73.9866387,residential,42469358,
Water Street,40.7030325,-73.9846630,residential,42469361,
Gold Street,40.7029654,-73.9827420,residential,42469362,
Madison Avenue,40.8115152,-73.9364514,secondary,4207675399,
3rd Avenue,40.7922463,-73.9441827,primary,42445827,
Kent Avenue,40.7010484,-73.9631458,secondary,42469409,
Kent Avenue,40.7015721,-73.9638050,secondary,42469414,
Kent Avenue,40.7021057,-73.9644630,secondary,42469421,
Kent Avenue,40.7026632,-73.9651504,secondary,42469425,
East 34th Street,40.7479926,-73.9834982,primary,4207937589,
Wilson Street,40.7031935,-73.9658104,residential,42469430,
West 37th Street,40.7515125,-73.9859694,secondary,4207937591,
Kent Avenue,40.7037300,-73.9664817,secondary,42469435,
Kent Avenue,40.7042470,-73.9672074,secondary,42469437,
Morton Street,40.7049832,-73.9675956,residential,42469440,
Kent Avenue,40.7057397,-73.9679262,secondary,42469443,
Kent Avenue,40.7068534,-73.9683554,secondary,42469447,
Kent Avenue,40.7077513,-73.9684018,secondary,42469449,
Kent Avenue,40.7100383,-73.9684915,secondary,42469451,
Broadway,40.7108185,-73.9684996,secondary,42469454,
44th Street,40.7326624,-73.9229617,residential,42862674,
Kent Avenue,40.7125973,-73.9677168,secondary,42469461,
Kent Avenue,40.7132946,-73.9673906,secondary,42469464,
Kent Avenue,40.7139214,-73.9671197,secondary,42469468,
Kent Avenue,40.7147286,-73.9667547,secondary,42469472,
East 161st Street,40.8261538,-73.9202597,secondary,42731617,
Kent Avenue,40.7155269,-73.9663987,secondary,42469475,
Kent Avenue,40.7162014,-73.9660716,secondary,42469478,
Sherman Avenue,40.8278250,-73.9193360,residential,42731625,
Sherman Avenue,40.8291080,-73.9186260,residential,42731628,
Kent Avenue,40.7170153,-73.9652478,secondary,42469485,
Sherman Avenue,40.8300359,-73.9180911,residential,42731631,
Kent Avenue,40.7175084,-73.9647138,secondary,42469489,
Sherman Avenue,40.8311300,-73.9174460,residential,42731634,
Kent Avenue,40.7180592,-73.9641208,secondary,42469492,
Kent Avenue,40.7186574,-73.9634737,secondary,42469494,
Kent Avenue,40.7192067,-73.9629002,secondary,42469496,
Kent Avenue,40.7197592,-73.9622988,secondary,42469499,
East 168th Street,40.8352826,-73.9150116,residential,42731646,
Kent Avenue,40.7203186,-73.9616992,secondary,42469503,
Kent Avenue,40.7208653,-73.9611158,secondary,42469507,
Kent Avenue,40.7214152,-73.9605117,secondary,42469511,
Kent Avenue,40.7219695,-73.9599228,secondary,42469514,
North 11th Street,40.7225232,-73.9593297,residential,42469520,
North 12th Street,40.7230758,-73.9587348,residential,42469528,
Kent Avenue,40.7236338,-73.9581347,secondary,42469531,
Kent Avenue,40.7242872,-73.9577017,secondary,42469534,
University Avenue,40.8557290,-73.9104130,secondary,42731712,
Andrews Avenue South,40.8560140,-73.9121300,residential,42731718,
Loring Place South,40.8562808,-73.9139115,residential,42731722,
Osborne Place,40.8565295,-73.9154520,residential,42731727,
Doughty Street,40.7018690,-73.9931540,residential,42469596,
West 175th Street,40.8482640,-73.9204820,residential,42731817,
West 176th Street,40.8496210,-73.9193710,residential,42731821,
Montgomery Avenue,40.8513140,-73.9172750,residential,42731822,
West Tremont Avenue,40.8519050,-73.9164470,secondary,42731827,
n/a,40.7637645,-73.9470762,secondary_link,3580758396,
Grand Concourse,40.8148632,-73.9287942,primary,2408974720,
Pike Slip,40.7104503,-73.9920968,primary,4207806920,
Pearl Street,40.7105451,-74.0008579,primary,4207806921,
Pike Slip,40.7106096,-73.9919057,primary,4207806922,
Pike Street,40.7111459,-73.9923370,primary,4207806923,
Pike Street,40.7135358,-73.9927097,primary,4207806925,
Old Palisade Road,40.8484268,-73.9650398,residential,752617944,
Lemoine Avenue,40.8514268,-73.9700171,primary,4204792289,
John Street,40.8810780,-73.9561330,residential,103287295,
Central Road,40.7970685,-73.9191176,tertiary,277482068,
Central Road,40.7931764,-73.9230530,tertiary,277482094,
Central Road,40.7928749,-73.9225574,tertiary,277482097,
East Houston Street,40.7202334,-73.9794638,primary,4544006774,
Edgewood Road,40.8669470,-73.9781590,tertiary,103156430,
Grandview Terrace,40.8657330,-73.9780750,residential,103156431,
Fairway Drive,40.8640110,-73.9785000,residential,103156437,
Ridgeland Terrace,40.8634500,-73.9773220,residential,103156457,
Ridgeland Terrace,40.8635800,-73.9771010,residential,103156459,
Jones Road,40.8639000,-73.9761670,residential,103156471,
Central Road,40.7962280,-73.9192886,tertiary,277482244,
Park Avenue,40.8211730,-73.9961460,residential,103156485,
Central Road,40.7954870,-73.9197336,tertiary,277482339,
Central Road,40.7959146,-73.9199563,tertiary,277482344,
Broad Avenue,40.8629720,-73.9870600,tertiary,103156594,
West 34th Street,40.7497021,-73.9875171,primary,4886228958,
Prospect Street,40.8612370,-73.9910780,residential,103287708,
2nd Avenue,40.8013779,-73.9343472,residential,4493020097,
Graham Avenue,40.7087810,-73.9434400,residential,42467835,
1st Avenue,40.7486479,-73.9697549,primary,3569749103,
