North College Avenue,residential,39.6876967,-75.7543133
Wilbur Street,residential,39.6879620,-75.7522020
Beverly Road,residential,39.6756218,-75.7591640
Apple Road,residential,39.6755954,-75.7610067
Bridle Brook Lane,residential,39.7039535,-75.7781517
Country Club Drive North,residential,39.6953002,-75.7732781
Park Place,residential,39.6160185,-75.8336823
Cecil Avenue,residential,39.6175990,-75.8318060
Bow Street,residential,39.6182319,-75.8305918
Kentmere Avenue,residential,39.6181590,-75.8292010
Elkton Boulevard,residential,39.6137340,-75.8357810
Elkton Boulevard,residential,39.6143320,-75.8352470
Elkton Boulevard,residential,39.6146486,-75.8349888
Park Circle,residential,39.6147330,-75.8349604
Elkton Boulevard,residential,39.6153873,-75.8342374
Odessa Way,residential,39.7051200,-75.7437910
Covered Bridge Lane,residential,39.7008600,-75.7853590
Hidden Valley Drive,residential,39.6985645,-75.7844962
Hunters Circle,residential,39.7007820,-75.7794930
Hunters Circle,residential,39.7009194,-75.7794087
Thistleberry Drive,residential,39.6285138,-75.7620209
Briarcliffe Court,residential,39.6288944,-75.7573304
Otts Chapel Road,secondary,39.6387860,-75.7790700
n/a,residential,39.6363070,-75.7875180
Old Baltimore Pike,secondary,39.6221150,-75.7849450
Wedgewood Road,residential,39.7044335,-75.7859900
Chippenham Drive,residential,39.7047540,-75.7876163
College Park,residential,39.6750618,-75.7674529
Mason Drive,residential,39.6872621,-75.7878495
Lynam Lookout Drive,residential,39.6367023,-75.7522703
Louviers Drive,residential,39.7114019,-75.7419994
Louviers Drive,residential,39.7116864,-75.7419863
Louviers Drive,residential,39.7113452,-75.7426598
Louviers Drive,residential,39.7112331,-75.7420173
Louviers Drive,residential,39.7112054,-75.7428017
Louviers Drive,residential,39.7110482,-75.7420415
Louviers Drive,residential,39.7109172,-75.7425151
Paper Mill Road,primary,39.7115278,-75.7432977
Louviers Drive,residential,39.7112587,-75.7435281
Four Seasons Parkway,tertiary,39.6269432,-75.7547055
Festival Court,residential,39.6280750,-75.7548870
Leafy Lane,residential,39.6280694,-75.7526032
Four Seasons Parkway,tertiary,39.6270747,-75.7524846
Pleasant Valley Road,secondary,39.6177240,-75.7709430
Northbend Court,residential,39.6177570,-75.7701770
Coopers Drive,residential,39.6174410,-75.7701420
Walnut Lane,residential,39.6220060,-75.8304200
James Street,residential,39.6211870,-75.8332890
Radcliffe Drive,residential,39.6872831,-75.7698370
Radcliffe Drive,residential,39.6866471,-75.7701402
Crystal Court,residential,39.6522793,-75.7543062
East Cleveland Avenue,tertiary,39.6865538,-75.7496995
Halloween Run,residential,39.6279808,-75.7559659
Holiday Place,residential,39.6281665,-75.7536638
Winchester Drive,residential,39.6593360,-75.8041410
