East Desert Steppes Drive,32.2145003,-110.8097469,residential,175374349,
North Balachai Lane,32.2332374,-110.7754894,residential,175374364,
South Mann Avenue,32.2174434,-110.8495620,residential,5211551475,
East Dogwood Street,32.1706408,-110.8311094,residential,175374400,
South Avenida Los Reyes,32.2019520,-110.7642559,residential,175418038,
South White Pine Avenue,32.1684074,-110.8287457,residential,175374407,
South Treat Avenue,32.2134103,-110.9309144,residential,6300063076,
South Treat Avenue,32.2133009,-110.9309151,residential,6300063077,
Buffalo Trail,32.2934904,-110.9744499,residential,175112300,
South Missiondale Road,32.1267663,-110.9690920,residential,175374446,
South 8th Avenue,32.1267531,-110.9706656,residential,175374448,
South San Fernando Avenue,32.1267309,-110.9733393,residential,175374451,
South Chess Avenue,32.1267244,-110.9741105,residential,175374454,
West Calle Aragon,32.1266855,-110.9787687,residential,175374457,
South Pacheco Avenue,32.1266770,-110.9797912,residential,175374460,
South 14th Avenue,32.1266669,-110.9809949,residential,175374464,
South Pinta Avenue,32.1266251,-110.9860060,residential,175374466,
South Stone Avenue,32.2171803,-110.9704335,tertiary,6226444425,
Avenida Perlina,32.1157270,-111.0318541,residential,175374478,
East Grant Road,32.2504760,-110.9210755,secondary,175418052,
South Hatch Street,32.1143823,-110.7880026,residential,175374504,
South Pinal Vista,32.1909926,-110.9286549,residential,175374507,
East 36th Street,32.1909961,-110.9264658,tertiary,175374509,
East 36th Street,32.1900386,-110.9157447,tertiary,175374523,
South 6th Avenue,32.1924401,-110.9683904,secondary,175374536,
East 36th Street,32.1924348,-110.9668411,tertiary,175374539,
South 4th Avenue,32.1924344,-110.9653190,tertiary,175374543,
East 36th Street,32.1924332,-110.9637913,tertiary,175374546,
East 36th Street,32.1924317,-110.9620995,tertiary,175374549,
East 36th Street,32.1924083,-110.9591720,tertiary,175374553,
East 36th Street,32.1923870,-110.9530250,tertiary,175374557,
East 36th Street,32.1923968,-110.9448046,tertiary,175374564,
South Campbell Avenue,32.1927366,-110.9435593,residential,175374567,
East 36th Street,32.1924357,-110.9393044,tertiary,175374575,
East 36th Street,32.1924425,-110.9386039,tertiary,175374579,
East 36th Street,32.1924498,-110.9358347,tertiary,175374582,
East 36th Street,32.1924718,-110.9327459,tertiary,175374585,
East 35th Street,32.1935483,-110.8674926,residential,175374598,
West Las Lomitas,32.3138429,-111.0191575,residential,175374624,
North Mona Lisa Road,32.3138060,-111.0184125,residential,175374627,
North Cerrada Tolsa,32.3178846,-110.9312724,residential,175374642,
East Yvon Drive,32.3047047,-110.9717686,residential,175374666,
Cave Creek Drive,32.2712101,-110.8952763,residential,175374680,
East Pastime Road,32.2756806,-110.9661699,residential,175374692,
East Smoot Place,32.2770421,-110.9661891,residential,175374695,
East Wilcox Drive,32.2511485,-110.9655064,residential,175374701,
East Alturas Street,32.2522071,-110.9655084,residential,175374705,
East Jacinto Street,32.2540125,-110.9655358,residential,175374708,
East Kelso Street,32.2558296,-110.9655278,residential,175374716,
East Glenn Street,32.2576510,-110.9655485,tertiary,175374720,
East Laguna Street,32.2594773,-110.9655636,residential,175374724,
North Geronimo Avenue,32.2630996,-110.9656003,residential,175374728,
East Fort Lowell Road,32.2647976,-110.9656172,secondary,175374731,
North Geronimo Avenue,32.2666062,-110.9656101,residential,175374733,
North Geronimo Avenue,32.2720356,-110.9656974,residential,175374736,
East Bromley Street,32.2931865,-110.9656700,residential,175374753,
South Athel Tree Drive,32.1126943,-110.8015865,residential,175374802,
South Athel Tree Drive,32.1088140,-110.7985081,residential,175374818,
South Athel Tree Drive,32.1080806,-110.7985915,residential,175374819,
South Athel Tree Drive,32.1073302,-110.7986896,residential,175374821,
North Calle Desecada,32.2921478,-110.9465590,residential,175374834,
North Camino Luz,32.2919311,-110.9455775,residential,175374837,
East Dorado Boulevard,32.2354860,-110.8450150,residential,4780851286,
South Wilmot Road,32.1762257,-110.8579871,residential,1716257342,
East Quijota Boulevard,32.1781737,-110.8589067,residential,1716257369,
East Phantom Street,32.1796999,-110.8628803,residential,1716257388,
South Cass Avenue,32.1805980,-110.8638997,residential,1716257407,
South Wilmot Road,32.1806224,-110.8580047,residential,1716257412,
14th Street,32.0904579,-110.8391007,residential,175365289,
North Stone Avenue,32.2492746,-110.9719064,tertiary,175375013,
North 7th Avenue,32.2492515,-110.9703774,residential,175375014,
North 6th Avenue,32.2492906,-110.9682355,tertiary,175375031,
North Avenida el Capitan,32.2492768,-110.9648297,residential,175375037,
