North College Avenue,39.6876967,-75.7543133,residential,178651173,
Wilbur Street,39.6879620,-75.7522020,residential,178651179,
East Main Street,39.6837895,-75.7436447,primary,3640983633,
The Horseshoe,39.7003179,-75.7801776,residential,947585112,
East Cleveland Avenue,39.6861031,-75.7517774,tertiary,178689387,
Beverly Road,39.6756218,-75.7591640,residential,178651283,
Apple Road,39.6755954,-75.7610067,residential,178651285,
Lehigh Road,39.6720952,-75.7669774,residential,178716968,
New London Road,39.6906302,-75.7610645,primary,1097105712,
Country Club Drive North,39.6953002,-75.7732781,residential,178651447,
Old East Chestnut Hill Road,39.6577313,-75.7485147,tertiary,2780758480,
Bridle Brook Lane,39.7000833,-75.7837274,residential,947585126,
Interchange Boulevard,39.6615549,-75.7785904,residential,178619001,
n/a,39.6906639,-75.7575528,residential,1097105522,
Blue Jay Drive,39.6549905,-75.7663026,residential,178645792,
Hidden Valley Drive,39.6985645,-75.7844962,residential,178651856,
Inspiration Boulevard,39.6655380,-75.7578935,residential,6067126996,
Avenue 1743,39.6669223,-75.7557857,residential,6067126997,
Avenue 1743,39.6656930,-75.7556622,residential,6067126998,
Avenue 1743,39.6640552,-75.7554740,residential,6067127000,
Avenue 1743,39.6630075,-75.7553389,residential,6067127001,
Hunters Circle,39.7007820,-75.7794930,residential,5177475881,
Hunters Circle,39.7009194,-75.7794087,residential,5177475889,
Ogletown Road,39.6847255,-75.7356759,primary,2446623829,
Lehigh Road,39.6725940,-75.7664242,residential,178717810,
Lehigh Road,39.6695292,-75.7699180,residential,178717813,
Capitol Trail,39.6852199,-75.7367689,primary,2446623862,
Lehigh Road,39.6680479,-75.7696365,residential,178717825,
Briar Lane,39.6805510,-75.7687307,residential,178678675,
n/a,39.6702385,-75.7708999,primary_link,5544936837,
n/a,39.6707059,-75.7710110,primary_link,5544936841,
East Cleveland Avenue,39.6857792,-75.7544376,tertiary,178685453,
West Cleveland Avenue,39.6856560,-75.7577894,tertiary,178685457,
Farm Lane,39.6686580,-75.7475128,residential,178619963,
Edjil Drive,39.6526910,-75.7489670,residential,178620062,
Old Cooches Bridge Road,39.6523558,-75.7484530,residential,178620063,
Richardson Lane,39.6604879,-75.7461109,residential,1216022181,
Susquehanna Circle,39.6714019,-75.7660979,residential,178716971,
Hawthorne Avenue,39.6884480,-75.7240992,residential,178685760,
n/a,39.6914311,-75.7592960,residential,1097105719,
Whitechapel Drive,39.6749438,-75.7289776,residential,5544904582,
n/a,39.6753044,-75.7286193,tertiary_link,5544904585,
n/a,39.6746901,-75.7284913,tertiary_link,5544904586,
Whitechapel Drive,39.6748850,-75.7289526,residential,5544904589,
Whitechapel Drive,39.6749289,-75.7285380,residential,5544904590,
Whitechapel Drive,39.6749978,-75.7285523,residential,5544904591,
Whitechapel Drive,39.6748471,-75.7295043,residential,5544904594,
Delrem Drive,39.6926782,-75.7764438,residential,178718692,
Braemar Drive,39.6740810,-75.7859730,residential,178685938,
Abbotsford Lane,39.6742710,-75.7850040,residential,178685942,
Shenandoah Drive,39.6947080,-75.7348230,residential,178685957,
Crystal Court,39.6522793,-75.7543062,residential,178653266,
St Regis Drive,39.7011450,-75.7277190,residential,178686091,
Eberly Drive,39.7012540,-75.7338370,residential,178686108,
St Regis Drive,39.7003510,-75.7342100,residential,178686110,
South College Avenue,39.6717754,-75.7534095,primary,178620584,
Holton Place,39.6706700,-75.7533018,residential,178620586,
Water Works Lane,39.6703817,-75.7532615,residential,178620588,
Orchard Road,39.6718700,-75.7567340,residential,178718908,
Nottingham Road,39.6926468,-75.7819072,primary,1680935206,
Bobby Drive,39.6543595,-75.7427105,residential,178719109,
East Cleveland Avenue,39.6865538,-75.7496995,tertiary,178653617,
Marrows Road,39.6853451,-75.7328282,tertiary,1679067600,
Otts Chapel Road,39.6428799,-75.7794407,secondary,178719241,
Stamford Drive,39.6929513,-75.7660588,residential,178653710,
Danbury Road,39.6924747,-75.7709361,residential,178653713,
n/a,39.6521591,-75.7803668,secondary_link,178719250,
Country Club Drive North,39.6926892,-75.7732574,residential,178653721,
Otts Chapel Road,39.6542994,-75.7814667,secondary,178719258,
Otts Chapel Road,39.6549767,-75.7820514,secondary,178719260,
Otts Chapel Road,39.6549808,-75.7822124,secondary,178719297,
Otts Chapel Road,39.6542250,-75.7815472,secondary,178719300,
Casho Mill Road,39.6790254,-75.7752667,tertiary,1595673164,
Radcliffe Drive,39.6836442,-75.7710396,residential,178653802,
Vassar Drive,39.6818301,-75.7747705,residential,178653812,
Gilberti Lane,39.6905816,-75.7263588,residential,587696799,
Sypherd Drive,39.6808843,-75.7609395,residential,178686650,
Apple Road,39.6796349,-75.7647234,tertiary,178686662,
Timber Creek Lane,39.6879124,-75.7762595,residential,178646137,
Timber Creek Lane,39.6859283,-75.7756113,residential,178646140,
Lafayette Road,39.6852639,-75.7755393,residential,178646141,
Casho Mill Road,39.6761327,-75.7740442,tertiary,178646153,
Water Works Lane,39.6712408,-75.7506854,residential,6268947300,
Sunset Road,39.6765224,-75.7551150,residential,178654098,
n/a,39.6807957,-75.7362542,primary_link,6267014200,
n/a,39.6800780,-75.7363827,primary_link,6267014208,
n/a,39.6798570,-75.7361152,primary_link,6267014213,
Hidden Valley Drive,39.6963056,-75.7833203,residential,178719923,
Murry View Court,39.6641876,-75.7372251,residential,178687368,
Russell Lane,39.6735376,-75.7749147,residential,3680865677,
Casho Mill Road,39.6722050,-75.7721487,tertiary,3680865688,
Russell Lane,39.6746351,-75.7739775,residential,3680865689,
Ellis Court,39.6727238,-75.7741160,residential,3680865692,
Wyoming Road,39.6763759,-75.7436723,tertiary,178687412,
South Chapel Street,39.6627669,-75.7365155,primary,178687425,
Capitol Trail,39.6666060,-75.7383180,primary,178687434,
West Delaware Avenue,39.6816547,-75.7536232,primary,178654675,
East Delaware Avenue,39.6819899,-75.7494772,primary,178654676,
Haines Street,39.6821532,-75.7473075,residential,178654677,
East Delaware Avenue,39.6821972,-75.7451703,primary,178654682,
Tyre Avenue,39.6809997,-75.7417071,residential,178654704,
Washington Street,39.6829205,-75.7376650,residential,178654712,
Gill Drive,39.6554034,-75.7386344,residential,178654769,
Bobby Drive,39.6550975,-75.7425915,residential,178654770,
Mercer Drive,39.6668840,-75.7283110,residential,178654774,
Marrows Road,39.6669814,-75.7271758,tertiary,178654775,
