South Cicero Avenue,41.7789080,-87.7422985,primary,1750335510
North Whipple Street,41.9427619,-87.7040437,residential,261139119
Menard Avenue,41.7359409,-87.7651694,residential,261182818
West Armitage Avenue,41.9182499,-87.6436646,tertiary,102705894
South Pulaski Road,41.7838876,-87.7229000,secondary,4321181779
West Cermak Road,41.8510143,-87.7596055,primary,4276560627
East 103rd Street,41.7078481,-87.5844864,secondary,5884826981
West Taylor Street,41.8693725,-87.6591890,tertiary,1309434652
West 65th Street,41.7755725,-87.6872119,residential,261337047
West 51st Street,41.8017162,-87.6370276,tertiary,705910126
Newton Avenue,41.9900356,-87.8238722,residential,2172649627
West 95th Street,41.7194723,-87.7872370,primary,261357726
South Sacramento Avenue,41.7608317,-87.6978031,residential,261313904
Kirk Street,42.0246462,-87.7874389,residential,268697819
South Western Avenue,41.7412323,-87.6826688,primary,4332510907
North Bell Avenue,41.9486122,-87.6846646,residential,261181631
West 51st Street,41.8017545,-87.6351139,tertiary,705910142
South Kingston Avenue,41.7607689,-87.5631825,residential,367788303
South Washington Avenue,41.9961152,-87.8262500,residential,261095705
North Sacramento Boulevard,41.8900115,-87.7015877,secondary,708306410
West 47th Street,41.8074768,-87.7544528,primary,261095716
West Waveland Avenue,41.9467135,-87.8094676,residential,261181633
North Menard Avenue,41.9421712,-87.7714851,residential,261139165
North Cumberland Avenue,41.9752261,-87.8366346,secondary,261357879
West 40th Street,41.8208823,-87.6995419,residential,261313930
West Roscoe Street,41.9420810,-87.7787851,residential,261139168
West 59th Street,41.7868265,-87.6595454,tertiary,261226550
West Roscoe Street,41.9420527,-87.7812208,residential,261139169
South Justine Street,41.7867729,-87.6631738,residential,261226554
Windemere Avenue,41.8187044,-87.8404199,residential,1912296848
West Waveland Avenue,41.9466796,-87.8119009,residential,261181635
West Roscoe Street,41.9419488,-87.7886308,residential,261139175
South Ewing Avenue,41.6760478,-87.5400140,residential,3627549048
n/a,41.6987254,-87.7957451,residential,5529882138
North Lamon Avenue,41.9602463,-87.7499547,residential,2185494922
Churchill Drive,41.7187389,-87.8457972,residential,5340965618
West Iowa Street,41.8970329,-87.7359873,residential,5353767347
West Foster Avenue,41.9757618,-87.7074628,secondary,305528905
West Iowa Street,41.8971236,-87.7310637,residential,5353767363
Augusta Drive,41.6569597,-87.7791019,residential,261358039
South Stony Island Avenue,41.7478466,-87.5854657,primary,414188003
South Oglesby Avenue,41.7389305,-87.5672662,residential,261095913
West Hutchinson Street,41.9579898,-87.7467776,residential,2185495019
River Drive,42.0246269,-87.7853504,residential,268698100
West 73rd Street,41.7609871,-87.6880430,residential,261358071
North Central Park Boulevard,41.8887014,-87.7165912,secondary,4332704442
East 95th Place,41.7215431,-87.5741029,residential,261095979
West Palmer Street,41.9215000,-87.7020357,residential,261096003
South Wood Street,41.8613507,-87.6711501,residential,5898884877
North Humboldt Boulevard,41.9211422,-87.7016349,residential,261096010
South Wentworth Avenue,41.7766076,-87.6300538,tertiary,261096017
West Palmer Square,41.9207047,-87.7022154,secondary,261096028
West Bryn Mawr Avenue,41.9836454,-87.6593040,secondary,2174877798
South Dearborn Street,41.8722642,-87.6291162,secondary,258877177
Doran Court,41.6499708,-87.8473681,residential,1372891925
West Higgins Road,41.9902267,-87.8584542,primary,4337233332
East 71st Street,41.7662060,-87.5799846,secondary,375653005
West 59th Street,41.7859802,-87.7205189,tertiary,261226606
South Pulaski Road,41.7622869,-87.7221918,secondary,261303852
