Laguna Honda Boulevard,37.7472475,-122.4592947,secondary,287834139
Geary Boulevard,37.7816627,-122.4541929,primary,258910901
n/a,37.7169761,-122.4724859,tertiary_link,6325971639
Spruce Street,37.7817894,-122.4531993,residential,258910904
Arguello Boulevard,37.7813350,-122.4588991,tertiary,258910905
Geary Boulevard,37.7814371,-122.4566526,primary,258910906
29th Street,37.7439943,-122.4219292,residential,275513443
Folsom Street,37.7737730,-122.4116275,primary,65317568
2nd Avenue,37.7812842,-122.4600189,residential,258910914
10th Avenue,37.7808949,-122.4685851,residential,258910916
Cortland Avenue,37.7397233,-122.4095133,tertiary,1636827301
Treat Way,37.7483314,-122.4126087,residential,1636827304
Folsom Street,37.7708952,-122.4150033,primary,65317576
Geary Boulevard,37.7806496,-122.4739920,secondary,258910923
Saint Charles Avenue,37.7121080,-122.4693406,residential,301203659
Geary Boulevard,37.7807215,-122.4724046,secondary,258910929
16th Street,37.7653260,-122.4153230,secondary,65317590
Geary Boulevard,37.7801132,-122.4858266,secondary,258910939
Folsom Street,37.7589063,-122.4147190,tertiary,65317599
22nd Street,37.7557072,-122.4144003,residential,65317601
Fulton Street,37.7736374,-122.4637661,secondary,4022927416
31st Avenue,37.7798703,-122.4911859,residential,258910947
Franklin Street,37.7906208,-122.4240816,secondary,5022548313
Folsom Street,37.7525057,-122.4141024,tertiary,65317606
Monterey Boulevard,37.7315189,-122.4454249,secondary,4353687911
Monterey Boulevard,37.7316082,-122.4454242,secondary,4353687912
Laguna Honda Boulevard,37.7432466,-122.4555493,tertiary,1501430147
Laguna Honda Boulevard,37.7462753,-122.4583353,tertiary,1501430148
Woodside Avenue,37.7468270,-122.4587133,secondary,1501430216
Brotherhood Way,37.7125218,-122.4692505,primary,301203913
Brotherhood Way,37.7126281,-122.4692197,primary,301203916
Laguna Honda Boulevard,37.7454364,-122.4572788,tertiary,1501430234
Owens Street,37.7649529,-122.3924254,tertiary,5838995940
Woodside Avenue,37.7459759,-122.4545260,secondary,1501430271
Laguna Honda Boulevard,37.7470217,-122.4588960,secondary,1501430311
Laguna Street,37.8035017,-122.4317257,secondary,542900781
Bay Street,37.8033522,-122.4314708,secondary,542900782
3rd Street,37.7737182,-122.3898787,primary,2249879677
Laguna Street,37.8034324,-122.4316437,secondary,542900784
Post Street,37.7835996,-122.4454097,tertiary,4177265201
Alemany Boulevard,37.7219547,-122.4385086,primary,5026087518
Ulloa Street,37.7408333,-122.4656903,residential,6353453732
Ulloa Street,37.7409674,-122.4659705,residential,6353453733
Sagamore Street,37.7114213,-122.4569472,primary,5020472818
San Jose Avenue,37.7113301,-122.4556247,secondary,5020472820
Bernal Heights Boulevard,37.7430500,-122.4099680,tertiary,3301966840
John F Kennedy Drive,37.7704516,-122.5110266,tertiary,259392510
Great Highway,37.7712664,-122.5111163,secondary,259392513
Maddux Avenue,37.7343110,-122.3983420,residential,65295873
Sunset Boulevard,37.7459548,-122.4947988,secondary,65289521
Plymouth Avenue,37.7116210,-122.4560698,tertiary,5440537618
8th Street,37.7776328,-122.4133942,secondary,3999400982
Harrison Street,37.7777072,-122.4035391,primary,65317721
Shotwell Street,37.7460507,-122.4150416,residential,65336904
Potrero Avenue,37.7606694,-122.4070247,primary,261510664
Potrero Avenue,37.7593761,-122.4068999,primary,261510671
8th Street,37.7737601,-122.4085358,secondary,65317738
21st Street,37.7577803,-122.4067448,residential,261510678
Harrison Street,37.7734546,-122.4089226,primary,65317740
Thomas Avenue,37.7251080,-122.3819390,residential,65295899
Thomas Avenue,37.7304259,-122.3912924,residential,65295905
Berry Street,37.7772082,-122.3915201,residential,6318851272
14th Street,37.7673850,-122.4347822,tertiary,4484388390
Pierce Street,37.7819462,-122.4358202,residential,5745956392
Plymouth Avenue,37.7118709,-122.4560621,tertiary,3999567876
Lincoln Way,37.7654283,-122.4778637,primary,5020452138
Lincoln Way,37.7654759,-122.4767863,primary,5020452139
Lincoln Way,37.7657579,-122.4714067,primary,5020452140
Portola Drive,37.7454642,-122.4516754,primary,287835447
Geary Boulevard,37.7840028,-122.4345537,tertiary,5745956404
3rd Street,37.7410814,-122.3884362,primary,258964494
Executive Park Boulevard,37.7112241,-122.3946756,tertiary,65339635
The Embarcadero,37.8083189,-122.4107937,tertiary,313263546
Brotherhood Way,37.7126867,-122.4716311,primary,4073063877
Beach Street,37.8043752,-122.4369832,residential,4008988338
Church Street,37.7694057,-122.4290689,residential,2992155561
Hill Drive,37.7277591,-122.3685443,residential,2920416762
Hill Drive,37.7279657,-122.3683567,residential,2920416778
3rd Street,37.7379398,-122.3895412,primary,258964500
Baker Street,37.7829602,-122.4428199,residential,258475645
Brotherhood Way,37.7144477,-122.4791494,secondary,4073064094
Brotherhood Way,37.7144827,-122.4803232,secondary,4073064096
O'Farrell Street,37.7822555,-122.4409913,residential,65301539
Brotherhood Way,37.7128003,-122.4726157,secondary,4073064106
Brotherhood Way,37.7142819,-122.4759764,secondary,4073064117
Brannan Street,37.7726269,-122.4037631,tertiary,423777917
n/a,37.7130040,-122.4539039,secondary_link,1718880014
West Portal Avenue,37.7375301,-122.4695573,tertiary,6353454926
San Jose Avenue,37.7136736,-122.4526254,secondary,1718880090
San Jose Avenue,37.7132204,-122.4535937,secondary,1718880133
Monterey Boulevard,37.7315548,-122.4407769,secondary,4353689485
Bayshore Boulevard,37.7431047,-122.4053208,primary,297273249
Laguna Honda Boulevard,37.7508026,-122.4609474,secondary,1501300736
Market Street,37.7751929,-122.4193499,primary,4967499780
Judah Street,37.7618840,-122.4715497,tertiary,258970633
San Bruno Avenue,37.7124427,-122.4025145,secondary,5034902319
37th Avenue,37.7515278,-122.4956471,residential,65296091
Stockton Street,37.7866404,-122.4064101,tertiary,65317939
Kensington Way,37.7435692,-122.4632893,residential,5863003870
37th Avenue,37.7459347,-122.4952551,residential,65296100
Taraval Street,37.7437033,-122.4643113,tertiary,5863003879
Divisadero Street,37.7871213,-122.4402181,primary,259139108
West Portal Avenue,37.7384289,-122.4685979,tertiary,6353455485
Crescent Way,37.7112005,-122.3894236,residential,6354897331
Harney Way,37.7106520,-122.3881555,tertiary,6354897334
Howard Street,37.7845424,-122.4011265,primary,1270745648
O'Farrell Street,37.7820536,-122.4422579,residential,65317996
Mission Bay Boulevard South,37.7708321,-122.3869967,tertiary,6376393432
Broadway,37.7977217,-122.4078670,primary,5427170050
n/a,37.7968193,-122.4151115,residential,5427170055
Greenwich Street,37.8011482,-122.4188961,residential,5427170117
Greenwich Street,37.8010115,-122.4198872,residential,5427170118
Owens Street,37.7656324,-122.3924884,tertiary,5838995941
Pierce Street,37.7754248,-122.4345039,residential,4744153968
Geary Boulevard,37.7812001,-122.4618219,primary,3997961111
Geary Boulevard,37.7812513,-122.4607469,primary,3997961112
Geary Boulevard,37.7814660,-122.4559466,primary,3997961113
Geary Boulevard,37.7815590,-122.4549996,primary,3997961114
Gough Street,37.8008491,-122.4278321,tertiary,262078981
Church Street,37.7517033,-122.4274487,residential,65318067
Transverse Drive,37.7715234,-122.4812507,tertiary,274467892
26th Street,37.7484942,-122.4271405,residential,65318069
Steiner Street,37.7995927,-122.4377013,residential,262078987
n/a,37.7156331,-122.3987989,primary_link,767822928
Sloat Boulevard,37.7347263,-122.4754775,primary,636095578
Columbus Avenue,37.7996734,-122.4092177,secondary,2605799277
Girard Road,37.8021787,-122.4528525,tertiary,4002286817
Gorgas Avenue,37.8026202,-122.4516789,residential,4002286829
Harrison Street,37.7813477,-122.3989237,primary,3999665426
Greenwich Street,37.8004329,-122.4242977,residential,258758534
Union Street,37.7985682,-122.4239212,tertiary,258758536
Orizaba Avenue,37.7142659,-122.4627510,residential,301206836
Green Street,37.7976356,-122.4237328,residential,258758537
Broadway,37.7957548,-122.4233529,primary,258758539
Bryant Street,37.7770511,-122.4012658,primary,5020822753
30th Street,37.7420930,-122.4268570,residential,65318115
Division Street,37.7698379,-122.4030693,tertiary,65296271
Post Street,37.7866337,-122.4215134,tertiary,258758549
San Jose Avenue,37.7311208,-122.4354676,secondary,1719012821
Castro Street,37.7686907,-122.4357788,primary,3999010292
San Jose Avenue,37.7346112,-122.4290627,primary,1719012877
O'Farrell Street,37.7865372,-122.4072338,secondary,4603528486
23rd Street,37.7547484,-122.3986931,residential,65318147
San Jose Avenue,37.7316014,-122.4352328,secondary,1719012896
Duboce Avenue,37.7690611,-122.4358192,residential,65296309
26th Street,37.7510550,-122.3983410,residential,65318156
Castro Street,37.7665363,-122.4355710,primary,65296312
Folsom Street,37.7860225,-122.3961224,primary,5020800956
n/a,37.7328575,-122.4251020,residential,764893122
Castro Street,37.7608903,-122.4350283,tertiary,65296327
Terry A. François Boulevard,37.7721668,-122.3869503,tertiary,302034205
Beale Street,37.7919259,-122.3967834,tertiary,916328137
Beale Street,37.7916743,-122.3964688,tertiary,916328138
Castro Street,37.7552877,-122.4344911,tertiary,65296333
Arguello Boulevard,37.7749833,-122.4584424,tertiary,3998133548
Cesar Chavez Street,37.7481510,-122.4165949,primary,2399950812
Castro Street,37.7488942,-122.4338783,tertiary,65296351
26th Street,37.7480951,-122.4338017,residential,65296354
Cesar Chavez Street,37.7470541,-122.4381103,residential,2399950819
Turk Boulevard,37.7782435,-122.4503477,secondary,2693926779
3rd Street,37.7713265,-122.3896505,primary,1728581502
3rd Street,37.7534542,-122.3877550,primary,1728581519
3rd Street,37.7563183,-122.3880113,primary,1728581522
Castro Street,37.7440809,-122.4333969,residential,65296372
3rd Street,37.7665203,-122.3889327,primary,1728581566
Steuart Street,37.7933519,-122.3933413,tertiary,6370811842
25th Street,37.7529034,-122.3876796,residential,1728581574
3rd Street,37.7527238,-122.3878689,primary,1728581578
Fillmore Street,37.8009756,-122.4364373,tertiary,621547508
3rd Street,37.7502118,-122.3874759,primary,1728581633
3rd Street,37.7506580,-122.3877142,primary,1728581642
20th Street,37.7595642,-122.4040206,residential,65340082
3rd Street,37.7610849,-122.3887398,primary,1728581679
3rd Street,37.7597924,-122.3884017,primary,1728581690
Parker Avenue,37.7815430,-122.4541660,residential,258911587
Lake Street,37.7863403,-122.4722023,residential,65289335
3rd Street,37.7509209,-122.3875314,primary,1728581721
3rd Street,37.7534469,-122.3879128,primary,1728581723
Fort Mason,37.8067128,-122.4275489,residential,65318252
3rd Avenue,37.7811130,-122.4610813,residential,258911598
Geary Boulevard,37.7811617,-122.4600100,primary,258911599
9th Avenue,37.7808215,-122.4675088,residential,258911600
Geary Boulevard,37.7807730,-122.4685764,primary,258911601
Folsom Street,37.7893859,-122.3918575,primary,890045127
Geary Boulevard,37.7809673,-122.4642949,primary,258911607
4th Street,37.7852817,-122.4052572,tertiary,65318277
12th Avenue,37.7518539,-122.4688172,residential,3069448500
Geary Boulevard,37.7800350,-122.4847470,secondary,258911637
12th Street,37.7738924,-122.4196758,residential,65318296
Potrero Avenue,37.7629323,-122.4072353,primary,4179515461
7th Street,37.7695009,-122.3987942,secondary,4179515465
7th Street,37.7698128,-122.3991828,secondary,4179515466
7th Street,37.7701236,-122.3995674,secondary,4179515467
Broad Street,37.7132175,-122.4540744,tertiary,1718882775
King Street,37.7758969,-122.3948081,primary,3997831652
