0,4 Clinton St,40.721128,-73.983933,4.0,$$,42440449,42435928,0.579498387279
1,307 W 47th St,40.76071,-73.98793,4.5,$$,42452353,42439994,0.737061109787
2,100 W Houston St,40.72732,-74.00026,4.0,$$,42448558,42448549,0.213246858076
3,80 Spring St,40.7227303946,-73.9983307763,4.0,$$$,103146278,103180886,0.496111527089
4,956 2nd Ave,40.755165,-73.967868,4.0,$$,42442838,42443127,0.496985737223
5,38 W 39th St,40.752155,-73.984223,4.0,$$,42445649,42428272,0.375614467784
6,113 Macdougal St,40.7300047977,-74.0006073834,4.0,$$$,1692433939,42430205,0.0786884301765
7,132 W 31st St,40.748297,-73.990649,4.0,$$,593973909,42451695,0.440678193613
8,286 8th Ave,40.746183,-73.997642,4.0,$,42435654,42435657,0.483548866158
9,3 Greenwich Ave,40.733826,-73.999852,4.0,$$,42432191,42430237,0.486610426328
10,156 10th Ave,40.7454251,-74.0056084,4.0,$$,42454328,42429431,0.454048581527
11,17 E 31st St,40.74626,-73.98473,4.0,$$,42442906,42449926,0.585543058209
12,167 E 33rd St,40.745414,-73.979004,4.0,$$,561042188,42446701,0.321321486939
13,667 Lexington Ave,40.759912,-73.96964,4.5,$$,42446925,42440325,0.49201198132
14,178 Ludlow St,40.7217399,-73.98739,4.0,$$,4478001045,42429769,0.212499696961
15,102 Norfolk St,40.71873,-73.98691,4.5,$$,42451593,486867534,0.79753780996
16,119 7th Ave,40.7405675901,-73.9980747946,3.5,$$,42437654,4461990857,0.517369170603
17,314 W 11th St,40.735611,-74.006673,3.5,$$$,42430828,42436407,0.876838205855
18,64 W 39th St,40.7525862176,-73.9850713153,4.0,$$,42445649,42428272,0.5576215402
19,124 W 25th St,40.7444458008,-73.9930725098,4.5,$,42453624,42428212,0.531744385056
20,219 Mulberry St,40.7223288,-73.996326,4.0,$$,42435434,1692433914,0.696959400928
21,85 2nd Ave,40.72676,-73.98923,4.0,$$,42442838,42443127,0.464410784269
22,224 Lafayette St,40.72213,-73.99756,4.0,$$,42442247,42430044,0.393005497358
23,653 11th Ave,40.76452,-73.99586,4.0,$$$,42422258,42430589,0.510433637719
24,38 W 36th St,40.7503233943,-73.9855566307,4.5,$$,42430643,593915267,0.517644882301
25,242 W 16th St,40.740624,-74.000648,4.0,$$,246580982,42449345,0.507764311037
26,10 Morton St,40.73126,-74.00361,4.0,$$,42436381,42430791,0.830753257254
27,570 Amsterdam Ave,40.7887398926,-73.9744491607,4.0,$$,42440935,4600226466,0.627537485012
28,307 E 9th St,40.72905,-73.98668,4.0,$$,42449021,42449014,0.358013266041
29,32 W 33rd St,40.7483352,-73.9867701,4.0,$$,42446701,6224277869,0.552381438604
30,163 East 33rd St,40.7454079309,-73.9791478307,4.0,$$,561042188,42446701,0.316645403716
31,103 Ave B,40.72473,-73.98115,4.0,$$,2324482224,42455412,0.198449451622
32,246 W 18th St,40.74175,-74.00007,4.0,$$,42429663,42429657,0.309909435903
33,55 3rd Ave,40.7310675,-73.9886217,3.5,$$,42440729,42448701,0.219763185818
34,504 W 42nd St,40.759624,-73.9958265,4.0,$$,42437379,62915549,0.511979878666
35,2 Lexington Ave,40.738437,-73.985686,4.0,$$$,42446925,42440325,0.708871003232
36,277 E 10th St,40.72829,-73.98271,4.0,$$,42430857,42430903,0.886738736577
37,1 Central Park W,40.76891,-73.98176,4.0,$$$,1061531429,42428570,0.343265065215
38,138 2nd Ave,40.728818206,-73.9872518859,4.5,$,42442838,42443127,0.480875421718
39,264 Bleecker St,40.7312,-74.00322,4.0,$$,42862029,42513771,0.523272259258
40,222 Lafayette St,40.722046,-73.997557,4.0,$$,42442247,42430044,0.456264953945
41,4540 Center Blvd,40.7479520761,-73.9570822404,4.0,$$,3114703224,2297172745,0.529111021015
42,308 W 50th St,40.76244,-73.98674,4.0,$$,42430358,42440153,0.397426580268
43,675 9th Ave,40.76138,-73.99071,4.0,$$,60915682,42444873,0.508315068423
44,302 W 37th St,40.75414,-73.99245,4.5,$$,4207937591,42430314,0.517440612625
45,156 E 64th St,40.76518,-73.96576,3.5,$$,42431649,42427972,0.379282147681
46,1695 2nd Ave,40.77916,-73.95104,4.0,$$,42442838,42443127,0.498281369943
47,548 3rd Ave,40.7473279524,-73.9772017868,4.0,$$,42440729,42448701,0.623638407491
48,114 Kenmare St,40.721372,-73.997529,3.5,$$,42429752,42430044,0.90698451386
49,2168 Frederick Douglass Blvd,40.8049797782,-73.9548260015,4.0,$$,42435743,5475792646,0.618696513702
50,201 1st Ave,40.730294,-73.9835395,4.0,$$,42444461,589928224,0.497651023451
51,373 W 46th St,40.760952,-73.9903269,4.0,$$,42453555,593921859,0.673426566734
52,17 Ave B,40.7220618263,-73.9832495734,4.0,$$,4215580880,42440401,0.490183764086
53,125 La Salle St,40.8141624,-73.960288,4.0,$$,42421852,42421865,0.909568049761
54,90 University Pl,40.733828,-73.993052,4.0,$$,42433298,42436935,0.79799616236
55,53 Little W 12th St,40.74073,-74.00836,4.5,$$,42431156,42431151,0.194271330715
56,121 Madison Ave,40.7453293,-73.9845257,4.0,$$,42445867,42445879,0.580882432458
57,401 W 25th St,40.748123,-74.000569,4.0,$$,42453624,42428212,0.510861572155
58,450 E 29th St,40.7393734244,-73.9734843398,4.0,$$$,42436756,2704112780,0.488885386492
59,184 9th Ave,40.745323,-74.001861,3.5,$$,60915682,42444873,0.507258717693
60,661 9th Ave,40.76095,-73.99115,4.5,$$,60915682,42444873,0.508278155515
61,807 8th Ave,40.7614036889,-73.9869685269,4.0,$$,42435654,42435657,0.527123065822
62,140 W 13th St,40.7372,-73.99919,4.0,$$,42429373,42429378,0.597868443035
63,119 W 56th St,40.7641277134,-73.9783795227,3.5,$$$,61273001,247123612,0.506845102366
