North College Avenue,residential,39.6876967,-75.7543133
Wilbur Street,residential,39.6879620,-75.7522020
n/a,footway,39.6767656,-75.7455695
Beverly Road,residential,39.6756218,-75.7591640
Apple Road,residential,39.6755954,-75.7610067
Bridle Brook Lane,residential,39.7039535,-75.7781517
Country Club Drive North,residential,39.6953002,-75.7732781
Park Place,residential,39.6160185,-75.8336823
Cecil Avenue,residential,39.6175990,-75.8318060
Bow Street,residential,39.6182319,-75.8305918
Kentmere Avenue,residential,39.6181590,-75.8292010
n/a,service,39.6780688,-75.7498774
n/a,service,39.6827859,-75.7434750
Elkton Boulevard,residential,39.6137340,-75.8357810
Elkton Boulevard,residential,39.6143320,-75.8352470
Elkton Boulevard,residential,39.6146486,-75.8349888
n/a,footway,39.6781596,-75.7495218
Park Circle,residential,39.6147330,-75.8349604
Elkton Boulevard,residential,39.6153873,-75.8342374
n/a,service,39.6838363,-75.7430435
n/a,footway,39.6797834,-75.7572272
Odessa Way,residential,39.7051200,-75.7437910
Covered Bridge Lane,residential,39.7008600,-75.7853590
Hidden Valley Drive,residential,39.6985645,-75.7844962
n/a,footway,39.6798408,-75.7569763
n/a,footway,39.6776780,-75.7482203
Hunters Circle,residential,39.7007820,-75.7794930
n/a,footway,39.6798525,-75.7566830
Hunters Circle,residential,39.7009194,-75.7794087
Thistleberry Drive,residential,39.6285138,-75.7620209
Briarcliffe Court,residential,39.6288944,-75.7573304
n/a,service,39.6848150,-75.7611964
n/a,footway,39.6848949,-75.7610918
Otts Chapel Road,secondary,39.6387860,-75.7790700
n/a,footway,39.6851005,-75.7616283
n/a,service,39.7133739,-75.7429628
n/a,service,39.6852563,-75.7620524
n/a,service,39.6854014,-75.7625959
n/a,residential,39.6363070,-75.7875180
n/a,service,39.7125964,-75.7450828
n/a,service,39.7128927,-75.7460318
n/a,service,39.7125347,-75.7471007
n/a,service,39.6860547,-75.7621638
Old Baltimore Pike,secondary,39.6221150,-75.7849450
Wedgewood Road,residential,39.7044335,-75.7859900
Chippenham Drive,residential,39.7047540,-75.7876163
n/a,footway,39.6799151,-75.7569361
n/a,footway,39.6678456,-75.7532175
n/a,footway,39.6684975,-75.7531337
n/a,footway,39.6799615,-75.7568572
n/a,footway,39.6691009,-75.7546109
n/a,footway,39.6687243,-75.7545663
College Park,residential,39.6750618,-75.7674529
n/a,footway,39.6687921,-75.7545865
Mason Drive,residential,39.6872621,-75.7878495
n/a,footway,39.6792511,-75.7479938
Lynam Lookout Drive,residential,39.6367023,-75.7522703
Louviers Drive,residential,39.7114019,-75.7419994
n/a,service,39.7114398,-75.7423501
Louviers Drive,residential,39.7116864,-75.7419863
Louviers Drive,residential,39.7113452,-75.7426598
