Tabor Avenue,residential,40.0500990,-75.0893880
Oxford Avenue,primary,40.0485670,-75.0869750
Frankford Avenue,primary,40.0393158,-75.0339023
Magee Avenue,residential,40.0459910,-75.0823430
Magee Avenue,residential,40.0439120,-75.0785896
Federal Street,primary,39.9468294,-75.0823939
Magee Avenue,residential,40.0419400,-75.0750320
Church Road,tertiary,40.0725992,-75.1230151
n/a,residential,40.1119521,-75.0555237
West Laurel Avenue,residential,40.0681485,-75.0966296
West Thompson Street,residential,39.9725870,-75.1542570
Magee Avenue,residential,40.0414850,-75.0742190
Malvern Avenue,residential,39.9816029,-75.2510789
West Laurel Avenue,residential,40.0676977,-75.0966142
Sherman Lane,residential,40.1229574,-74.9616291
Frankford Avenue,primary,40.0376554,-75.0384524
West Laurel Avenue,residential,40.0664378,-75.0965471
West Cumberland Street,residential,39.9902483,-75.1504787
Magee Avenue,residential,40.0408030,-75.0729960
Church Road,tertiary,40.0731573,-75.1237953
Cresheim Valley Drive,secondary,40.0731830,-75.1891812
n/a,residential,39.9723175,-75.1763787
South 27th Street,secondary,39.9418940,-75.0831930
n/a,residential,39.9610353,-75.2539133
n/a,residential,39.9610222,-75.2539901
n/a,residential,39.9616651,-75.2540708
n/a,residential,39.9616534,-75.2541479
South 29th Street,residential,39.9419929,-75.0821580
Denby Avenue,residential,39.9637290,-75.0464730
West Huntingdon Street,residential,39.9917400,-75.1501650
Royden Street,residential,39.9417358,-75.0797449
Paxson Avenue,residential,40.0962191,-75.1405996
Glenside Avenue,residential,40.0951928,-75.1416935
Park Lane,residential,40.0946739,-75.1426614
Bustleton Avenue,primary,40.0763810,-75.0447673
West Oakdale Street,residential,39.9928300,-75.1499640
Glenview Avenue,residential,40.0941443,-75.1435590
North Bent Road,residential,40.0934659,-75.1450072
Waverly Road,residential,40.0942681,-75.1466450
Civic Center Boulevard,secondary,39.9498427,-75.1926179
Pine Rd,tertiary,40.0919450,-75.0667230
Pine Rd,tertiary,40.1046576,-75.0595493
Monument Road,residential,40.0130461,-75.2182409
Township Line Road,primary,40.0880289,-75.1296407
Wissahickon Avenue,tertiary,40.0292307,-75.1858663
Medford Place,residential,40.0999745,-74.9746064
Church Road,primary,40.0779774,-75.1277851
South University Avenue,primary,39.9461099,-75.1984068
South 12th Street,residential,39.9285598,-75.1649751
Sansom Street,residential,39.9556478,-75.2086172
Sansom Street,residential,39.9558036,-75.2098930
Penn Street,residential,40.0151880,-75.0876710
South University Avenue,primary,39.9461019,-75.1985547
Griscom Street,residential,40.0147390,-75.0868510
Gloucester Lane,residential,40.0710190,-74.9863320
Haddon Avenue,primary,39.9058100,-75.0430620
Gloucester Lane,residential,40.0697890,-74.9852500
Richmond Street,secondary,39.9969490,-75.0741860
