North College Avenue,residential,39.6876967,-75.7543133
Wilbur Street,residential,39.6879620,-75.7522020
Willington Square Way,residential,39.7089999,-75.7442862
The Horseshoe,residential,39.7003179,-75.7801776
Killens Pond Court,residential,39.7046730,-75.7441140
Nemours Way,residential,39.7039510,-75.7445900
W Parkway,residential,39.7041650,-75.7963660
East Cleveland Avenue,tertiary,39.6861031,-75.7517774
Beverly Road,residential,39.6756218,-75.7591640
Apple Road,residential,39.6755954,-75.7610067
North Chapel Street,primary,39.6870567,-75.7469932
n/a,residential,39.6474321,-75.7644527
n/a,residential,39.6477763,-75.7644896
East Cleveland Avenue,tertiary,39.6871774,-75.7461430
Independence Way,residential,39.6479074,-75.7645322
Science Boulevard,residential,39.6627347,-75.7589925
Lehigh Road,residential,39.6720952,-75.7669774
Bridle Brook Lane,residential,39.7039535,-75.7781517
New London Road,primary,39.6906302,-75.7610645
Country Club Drive North,residential,39.6953002,-75.7732781
Park Place,residential,39.6160185,-75.8336823
Cecil Avenue,residential,39.6175990,-75.8318060
Halloween Run,residential,39.6290715,-75.7560757
Bow Street,residential,39.6182319,-75.8305918
Kentmere Avenue,residential,39.6181590,-75.8292010
Harvest Trail,residential,39.6288440,-75.7516305
Elkton Boulevard,residential,39.6137340,-75.8357810
Elkton Boulevard,residential,39.6143320,-75.8352470
Park Circle,residential,39.6147330,-75.8349604
Glen Avon Drive,residential,39.6219854,-75.7781985
Bridle Brook Lane,residential,39.7000833,-75.7837274
Interchange Boulevard,residential,39.6615549,-75.7785904
Covered Bridge Lane,residential,39.7008600,-75.7853590
Bridle Brook Lane,residential,39.7012621,-75.7772172
Lynam Lookout Drive,residential,39.6394471,-75.7527796
n/a,residential,39.6906639,-75.7575528
Hidden Valley Drive,residential,39.6985645,-75.7844962
Inspiration Boulevard,residential,39.6655380,-75.7578935
Avenue 1743,residential,39.6669223,-75.7557857
Avenue 1743,residential,39.6656930,-75.7556622
Avenue 1743,residential,39.6640552,-75.7554740
Hunters Circle,residential,39.7007820,-75.7794930
Hunters Circle,residential,39.7009194,-75.7794087
Glen Avon Court,residential,39.6234671,-75.7771204
Station Way,residential,39.6670119,-75.7544574
Thistleberry Drive,residential,39.6285138,-75.7620209
Briarcliffe Court,residential,39.6288944,-75.7573304
Otts Chapel Road,secondary,39.6387860,-75.7790700
n/a,residential,39.6363070,-75.7875180
Old Baltimore Pike,secondary,39.6221150,-75.7849450
Wedgewood Road,residential,39.7044335,-75.7859900
Chippenham Drive,residential,39.7047540,-75.7876163
Winterhaven Drive,residential,39.6296909,-75.7499969
Nottingham Road,primary,39.6950781,-75.7882779
Thorn Lane,residential,39.6745740,-75.7686754
